Partida,Tiempo,Cantidad_palabras_a_adivinar,Nombre_del_evento,Nick,Genero,Edad,Estado,Palabra,Nivel
10,1624479745.4641902,6,intento,akira,Mujer,22,error,Love Live!,1
10,1624479747.1914744,6,intento,akira,Mujer,22,ok,Love Live!,1
10,1624479748.8152971,6,intento,akira,Mujer,22,ok,Girlish number,1
10,1624479750.7214937,6,intento,akira,Mujer,22,error,Anisong Station,1
10,1624479752.5908194,6,intento,akira,Mujer,22,ok,Samurai Jam-Bakumatsu Rock,1
10,1624479754.7577267,6,intento,akira,Mujer,22,ok,Love Live! Sunshine!!,1
10,1624479755.986586,6,intento,akira,Mujer,22,error,Anisong Station,1
10,1624479757.688385,6,intento,akira,Mujer,22,ok,Anisong Station,1
10,1624479758.722411,6,intento,akira,Mujer,22,ok,RH Plus,1
10,1624479759.0238633,6,fin,akira,Mujer,22,finalizada,,1
11,1624479847.230125,6,inicio_partida,akira,Mujer,22,,,1
11,1624479847.9279952,6,intento,akira,Mujer,22,error,Samurai Jam-Bakumatsu Rock,1
11,1624479859.1578872,6,intento,akira,Mujer,22,error,Samurai Jam-Bakumatsu Rock,1
11,1624479872.140607,6,fin,akira,Mujer,22,abandonada,,1
12,1624479929.6950688,6,inicio_partida,akira,Mujer,22,,,1
12,1624479930.8577302,6,intento,akira,Mujer,22,error,Samurai Jam-Bakumatsu Rock,1
12,1624479932.8528297,6,intento,akira,Mujer,22,error,Love Live!,1
12,1624479934.7392232,6,intento,akira,Mujer,22,error,Samurai Jam-Bakumatsu Rock,1
12,1624479936.2919507,6,intento,akira,Mujer,22,ok,Love Live!,1
12,1624479937.7935758,6,intento,akira,Mujer,22,error,Anisong Station,1
12,1624479939.5436954,6,intento,akira,Mujer,22,ok,THE [email protected] CINDERELLA GIRLS,1
12,1624479941.3475513,6,intento,akira,Mujer,22,error,Girlish number,1
12,1624479943.125207,6,intento,akira,Mujer,22,error,Samurai Jam-Bakumatsu Rock,1
12,1624479944.7572956,6,intento,akira,Mujer,22,ok,Girlish number,1
12,1624479945.9461453,6,intento,akira,Mujer,22,ok,Samurai Jam-Bakumatsu Rock,1
12,1624479947.1700292,6,intento,akira,Mujer,22,ok,Anisong Station,1
12,1624479947.9875553,6,intento,akira,Mujer,22,ok,IDOLiSH7,1
12,1624479948.2885509,6,fin,akira,Mujer,22,finalizada,,1
13,1624479955.8357542,6,inicio_partida,akira,Mujer,22,,,1
13,1624479957.5250478,6,intento,akira,Mujer,22,error,THE [email protected] CINDERELLA GIRLS,1
13,1624479959.134208,6,intento,akira,Mujer,22,ok,Girlish number,1
13,1624479959.9395518,6,intento,akira,Mujer,22,error,Anisong Station,1
13,1624479961.685077,6,intento,akira,Mujer,22,error,THE [email protected] CINDERELLA GIRLS,1
13,1624479963.159652,6,intento,akira,Mujer,22,error,Love Live!,1
13,1624479965.268429,6,intento,akira,Mujer,22,error,IDOLiSH7,1
13,1624479966.9112043,6,intento,akira,Mujer,22,ok,THE [email protected] CINDERELLA GIRLS,1
13,1624479968.1055892,6,intento,akira,Mujer,22,error,Anisong Station,1
13,1624479969.66069,6,intento,akira,Mujer,22,ok,Anisong Station,1
13,1624479970.5775337,6,intento,akira,Mujer,22,ok,IDOLiSH7,1
13,1624479971.5569696,6,intento,akira,Mujer,22,ok,Love Live!,1
13,1624479972.4605036,6,intento,akira,Mujer,22,ok,Samurai Jam-Bakumatsu Rock,1
13,1624479972.76216,6,fin,akira,Mujer,22,finalizada,,1
14,1624480080.4642668,6,inicio_partida,akira,Mujer,22,,,1
14,1624480082.0320253,6,fin,akira,Mujer,22,abandonada,,1
15,1624480122.8321724,6,inicio_partida,akira,Mujer,22,,,1
15,1624480125.7127285,6,intento,akira,Mujer,22,error,AKB0048,1
15,1624480127.4296896,6,intento,akira,Mujer,22,ok,Meiji Tokyo Renka,1
15,1624480129.0162783,6,intento,akira,Mujer,22,error,IDOLiSH7,1
15,1624480130.8006146,6,intento,akira,Mujer,22,error,AKB0048,1
15,1624480132.303235,6,intento,akira,Mujer,22,ok,AKB0048,1
15,1624480133.3433652,6,intento,akira,Mujer,22,error,Anisong Station,1
15,1624480134.9139538,6,intento,akira,Mujer,22,ok,KONOSUBA -God's blessing on this wonderful world!,1
15,1624480136.0965128,6,intento,akira,Mujer,22,ok,White Album 2,1
